frame num,molecule num,x (nm),y (nm),z (nm),x fid-corrected (nm),y fid-corrected (nm), z fid-corrected (nm),photons detected,mean background photons
263,1,26147,10626,-1294,NaN,NaN,NaN,14561,53.622
264,1,26160,10628,-1290.2,NaN,NaN,NaN,17669,53.542
265,1,26153,10626,-1296.7,NaN,NaN,NaN,18257,53.577
266,1,26152,10625,-1287,NaN,NaN,NaN,15428,53.55
267,1,26153,10623,-1285.9,NaN,NaN,NaN,14383,53.594
268,1,26154,10627,-1295.2,NaN,NaN,NaN,14864,53.575
269,1,26152,10630,-1275,NaN,NaN,NaN,19284,53.674
270,1,26152,10613,-1288.5,NaN,NaN,NaN,17701,53.602
271,1,26157,10616,-1295.7,NaN,NaN,NaN,16841,53.591
272,1,26151,10619,-1290.1,NaN,NaN,NaN,19047,53.695
273,1,26156,10636,-1286.4,NaN,NaN,NaN,20667,53.729
274,1,26158,10624,-1300,NaN,NaN,NaN,18317,53.639
275,1,26152,10628,-1294.9,NaN,NaN,NaN,17010,53.592
276,1,26155,10628,-1291.7,NaN,NaN,NaN,16222,53.555
277,1,26158,10634,-1296.1,NaN,NaN,NaN,19551,53.636
278,1,26151,10612,-1292.7,NaN,NaN,NaN,21868,53.648
279,1,26154,10625,-1298.4,NaN,NaN,NaN,16914,53.636
280,1,26163,10623,-1289,NaN,NaN,NaN,22818,53.731
281,1,26154,10635,-1296,NaN,NaN,NaN,17488,53.688
282,1,26157,10636,-1295.8,NaN,NaN,NaN,19008,53.702
283,1,26149,10622,-1289.6,NaN,NaN,NaN,16775,53.554
284,1,26148,10623,-1293.1,NaN,NaN,NaN,16269,53.59
285,1,26148,10627,-1294.9,NaN,NaN,NaN,15712,53.628
286,1,26148,10618,-1294.1,NaN,NaN,NaN,13805,53.627
287,1,26145,10621,-1287.7,NaN,NaN,NaN,16650,53.653
288,1,26153,10619,-1290.3,NaN,NaN,NaN,17829,53.584
289,1,26156,10629,-1294.1,NaN,NaN,NaN,18864,53.585
290,1,26147,10622,-1288.1,NaN,NaN,NaN,16115,53.665
291,1,26159,10621,-1299,NaN,NaN,NaN,16535,53.663
292,1,26148,10622,-1285.5,NaN,NaN,NaN,12131,53.632
293,1,26158,10634,-1297.9,NaN,NaN,NaN,14885,53.667
294,1,26158,10634,-1293.5,NaN,NaN,NaN,15669,53.681
295,1,26147,10619,-1289,NaN,NaN,NaN,19828,53.659
296,1,26144,10628,-1299.8,NaN,NaN,NaN,16098,53.576
297,1,26150,10629,-1289.6,NaN,NaN,NaN,19807,53.659
298,1,26154,10620,-1291.1,NaN,NaN,NaN,18684,53.693
299,1,26157,10618,-1285.9,NaN,NaN,NaN,16866,53.677
300,1,26145,10630,-1291.4,NaN,NaN,NaN,14009,53.817
301,1,26140,10624,-1284.4,NaN,NaN,NaN,14715,53.593
302,1,26156,10630,-1295.6,NaN,NaN,NaN,15942,53.698
303,1,26153,10636,-1290.1,NaN,NaN,NaN,17359,53.665
304,1,26151,10629,-1296.4,NaN,NaN,NaN,21080,53.824
305,1,26151,10621,-1288.1,NaN,NaN,NaN,18039,53.761
306,1,26159,10628,-1291.2,NaN,NaN,NaN,16283,53.755
307,1,26151,10625,-1288.4,NaN,NaN,NaN,17465,53.704
308,1,26159,10631,-1286.1,NaN,NaN,NaN,18432,53.711
309,1,26148,10622,-1290.3,NaN,NaN,NaN,19360,53.719
310,1,26149,10634,-1291.5,NaN,NaN,NaN,18760,53.782
311,1,26152,10639,-1297.5,NaN,NaN,NaN,15256,53.778
312,1,26172,10628,-1282.2,NaN,NaN,NaN,13741,53.775
313,1,26160,10619,-1284.9,NaN,NaN,NaN,13757,53.763
314,1,26160,10626,-1288.7,NaN,NaN,NaN,16089,53.81
315,1,26153,10619,-1283.2,NaN,NaN,NaN,15651,53.773
316,1,26149,10644,-1283.9,NaN,NaN,NaN,16481,53.799
317,1,26158,10626,-1277,NaN,NaN,NaN,16985,53.736
318,1,26148,10626,-1279,NaN,NaN,NaN,17390,53.787
319,1,26154,10621,-1282.2,NaN,NaN,NaN,16291,53.765
320,1,26160,10628,-1294.4,NaN,NaN,NaN,13520,53.866
321,1,26138,10629,-1286.4,NaN,NaN,NaN,16064,53.81
322,1,26160,10617,-1278.6,NaN,NaN,NaN,17044,53.851
323,1,26150,10617,-1277.7,NaN,NaN,NaN,17257,53.873
324,1,26143,10620,-1283.4,NaN,NaN,NaN,17305,53.786
325,1,26154,10635,-1276.9,NaN,NaN,NaN,16948,53.792
326,1,26150,10633,-1285.8,NaN,NaN,NaN,17286,53.837
327,1,26150,10628,-1289.8,NaN,NaN,NaN,17413,53.783
328,1,26169,10620,-1288.5,NaN,NaN,NaN,17003,53.842
329,1,26149,10620,-1286.1,NaN,NaN,NaN,16270,53.756
330,1,26147,10631,-1284.2,NaN,NaN,NaN,17208,53.815
331,1,26154,10627,-1282.4,NaN,NaN,NaN,13345,53.749
332,1,26146,10625,-1278,NaN,NaN,NaN,15543,53.757
333,1,26147,10625,-1272.5,NaN,NaN,NaN,15289,53.708
334,1,26143,10628,-1281.6,NaN,NaN,NaN,15372,53.753
335,1,26150,10625,-1291.6,NaN,NaN,NaN,17069,53.691
336,1,26163,10633,-1281.8,NaN,NaN,NaN,18003,53.79
337,1,26159,10632,-1288.1,NaN,NaN,NaN,14614,53.739
338,1,26152,10632,-1292.6,NaN,NaN,NaN,15561,53.751
339,1,26157,10626,-1283.9,NaN,NaN,NaN,16931,53.755
340,1,26146,10626,-1277.8,NaN,NaN,NaN,18647,53.839
341,1,26153,10618,-1295.6,NaN,NaN,NaN,19084,53.755
342,1,26144,10632,-1292.4,NaN,NaN,NaN,15849,53.73
343,1,26145,10617,-1287.5,NaN,NaN,NaN,19940,53.776
344,1,26149,10633,-1288.3,NaN,NaN,NaN,15166,53.729
345,1,26159,10620,-1282.2,NaN,NaN,NaN,17769,53.762
346,1,26155,10629,-1284.2,NaN,NaN,NaN,15372,53.782
347,2,26155,10628,-1289.8,NaN,NaN,NaN,17473,53.759
348,1,26152,10631,-1289.3,NaN,NaN,NaN,17287,53.731
349,1,26154,10631,-1291.3,NaN,NaN,NaN,16207,53.891
350,1,26145,10631,-1288,NaN,NaN,NaN,16748,53.774
351,1,26139,10622,-1276.4,NaN,NaN,NaN,11601,53.725
352,1,26161,10626,-1282.6,NaN,NaN,NaN,13505,53.811
353,1,26144,10623,-1292.7,NaN,NaN,NaN,16444,53.797
354,1,26142,10629,-1275.6,NaN,NaN,NaN,15739,53.758
355,1,26152,10633,-1297,NaN,NaN,NaN,15161,53.708
356,1,26156,10627,-1271,NaN,NaN,NaN,16732,53.78
357,1,26147,10623,-1280.4,NaN,NaN,NaN,14236,53.673
358,1,26139,10620,-1271.3,NaN,NaN,NaN,16501,53.731
359,1,26151,10630,-1286.7,NaN,NaN,NaN,18046,53.782
360,1,26150,10628,-1289,NaN,NaN,NaN,15719,53.837
361,1,26159,10631,-1284.2,NaN,NaN,NaN,17499,53.767
362,1,26148,10618,-1270.9,NaN,NaN,NaN,18798,53.805
363,1,26145,10618,-1288,NaN,NaN,NaN,15869,53.792
364,1,26162,10634,-1280.5,NaN,NaN,NaN,15451,53.795
365,1,26156,10629,-1301.6,NaN,NaN,NaN,19303,53.835
366,1,26148,10625,-1290.8,NaN,NaN,NaN,14739,53.756
367,1,26153,10626,-1294.5,NaN,NaN,NaN,20359,53.825
368,1,26154,10625,-1292,NaN,NaN,NaN,19403,53.808
369,1,26146,10626,-1289.8,NaN,NaN,NaN,21289,53.865
370,1,26145,10627,-1290.6,NaN,NaN,NaN,19300,53.815
371,1,26145,10622,-1286.6,NaN,NaN,NaN,17288,53.826
372,1,26152,10619,-1286.7,NaN,NaN,NaN,15664,53.792
373,1,26138,10629,-1280.6,NaN,NaN,NaN,14120,53.818
374,1,26145,10618,-1286.7,NaN,NaN,NaN,15982,53.751
375,1,26151,10630,-1280.5,NaN,NaN,NaN,11735,53.816
376,1,26150,10629,-1283.7,NaN,NaN,NaN,15803,54.149
377,1,26153,10627,-1282.6,NaN,NaN,NaN,15007,53.788
378,1,26149,10635,-1278.9,NaN,NaN,NaN,20158,54.267
379,1,26139,10618,-1290.4,NaN,NaN,NaN,15999,53.905
380,1,26151,10630,-1285.4,NaN,NaN,NaN,16501,54.342
381,1,26151,10621,-1280.4,NaN,NaN,NaN,15669,53.908
382,1,26154,10630,-1285.5,NaN,NaN,NaN,16799,53.894
383,1,26155,10630,-1277.3,NaN,NaN,NaN,19152,53.877
384,1,26142,10623,-1282.6,NaN,NaN,NaN,18699,53.836
385,1,26145,10631,-1293.8,NaN,NaN,NaN,16854,53.919
386,1,26140,10622,-1272.1,NaN,NaN,NaN,19746,53.978
387,1,26149,10621,-1273.5,NaN,NaN,NaN,16302,53.882
388,1,26151,10627,-1291.5,NaN,NaN,NaN,15681,53.879
389,1,26155,10631,-1276.7,NaN,NaN,NaN,18299,54.29
390,1,26151,10629,-1281.9,NaN,NaN,NaN,17202,53.87
391,1,26148,10639,-1264.8,NaN,NaN,NaN,21177,54.286
392,1,26153,10625,-1275.6,NaN,NaN,NaN,12716,53.809
393,1,26150,10624,-1287.2,NaN,NaN,NaN,15553,53.855
394,1,26147,10632,-1285.2,NaN,NaN,NaN,17608,53.831
395,1,26156,10624,-1277.9,NaN,NaN,NaN,11459,53.865
396,1,26147,10633,-1280.7,NaN,NaN,NaN,18902,53.953
397,1,26153,10631,-1255.9,NaN,NaN,NaN,15118,53.845
