frames,xnm,ynm,znm,locprec,photons,background,locprecZ,probe
1,14370.94,29646.23,1311.50071,53.8013,892.2566,97.44266,158.073,0
1,17958.41,29646.43,1557.0016,9.88194,7514.465,100.7282,20.46643,0
1,24146.41,29598.88,248.356,60.4717,1652.808,91.67703,101.9248,0
1,19459.62,29764.99,230.268,56.90644,3666.357,105.4709,59.05477,0
1,19034.52,29942.8,1805.7074,25.59369,5448.668,111.3681,69.26608,0
1,34783.72,29997.97,1939.6587,53.69178,851.8416,58.74066,111.8951,0
1,35294.5,30004.2,908.0977,51.78629,609.0817,62.78005,113.6759,0
1,537.5852,30154.07,1951.0447,60.28289,1962.532,120.616,165.902,0
1,1042.7368,30115.06,889.7841,65.69064,1818.928,122.8524,196.6803,0
1,2153.161,30100.79,469.676,67.40678,1321.625,110.9693,227.2378,0
1,22672.63,30131.59,2010.4381,52.6559,1659.814,96.50856,116.3948,0
1,23365.48,30083.65,1229.81979,48.80566,1092.082,92.32291,119.7934,0
1,24881.19,30064.89,1188.74812,40.50717,1639.831,93.68536,85.72644,0
1,26029.28,30078.1,1332.85642,39.63827,1316.674,79.77506,118.7773,0
1,28038.24,30093.93,1871.5442,52.38749,813.7027,66.51707,162.2071,0
1,37301.85,30111.95,2094.643,58.07913,655.6409,57.83519,115.4222,0
1,42699.67,30161.75,1331.73019,42.04739,1350.933,52.52559,71.95017,0
1,165.53763,30284.93,946.7157,95.49377,1977.809,124.318,312.3609,0
1,18337.2,30240.84,536.1493,45.11134,4371.639,104.0522,85.85361,0
1,25302.89,30338.23,2136.6222,61.72005,2823.486,92.15234,130.4314,0
1,711.0725,30406.47,448.6309,55.7446,2244.271,116.606,221.3592,0
